cgroup,commoditycode,pci,exp_share
Core countries,0101,0.0642426217529412,0.000131236961169874
Periphery countries,0101,0.0642426217529412,0.000463979373363288
Core countries,0102,-0.492542902941177,0.000516250772043892
Periphery countries,0102,-0.492542902941177,0.000370046875606996
Core countries,0103,0.510823855941177,0.000532499520404157
Periphery countries,0103,0.510823855941177,0.000408225111597615
Core countries,0104,-1.12472420411765,1.87544138202284e-05
Periphery countries,0104,-1.12472420411765,9.15666637297178e-05
Core countries,0105,-0.173124057611765,0.000262610440414443
Periphery countries,0105,-0.173124057611765,0.000133084256694537
Core countries,0106,-1.37125134705882,6.97818830100559e-05
Periphery countries,0106,-1.37125134705882,7.65744390041489e-05
Core countries,0201,-0.103990797158824,0.0017172616527055
Periphery countries,0201,-0.103990797158824,0.00253455700463919
Core countries,0202,-0.989652876470588,0.000241016891965828
Periphery countries,0202,-0.989652876470588,0.000542850026665109
Core countries,0203,0.858757858235294,0.00247223714743238
Periphery countries,0203,0.858757858235294,0.00236101613707303
Core countries,0204,-0.891279994705882,0.000119735779436211
Periphery countries,0204,-0.891279994705882,0.00054664125913113
Core countries,0205,-0.159019168864706,5.57581443206954e-05
Periphery countries,0205,-0.159019168864706,1.57294104207593e-05
Core countries,0206,-0.350626019411765,0.000304998083338525
Periphery countries,0206,-0.350626019411765,0.00037203211649686
Core countries,0207,0.305621362764706,0.00134037792267589
Periphery countries,0207,0.305621362764706,0.000814801216830985
Core countries,0208,-0.0556599375294118,0.000113076983263656
Periphery countries,0208,-0.0556599375294118,6.26161357904145e-05
Core countries,0209,0.752313421764706,6.77294476186402e-05
Periphery countries,0209,0.752313421764706,0.000110535017906375
Core countries,0210,0.340945992647059,0.000465659224451545
Periphery countries,0210,0.340945992647059,0.000712895134893277
Core countries,0301,-0.975911302352941,2.70263161320095e-05
Periphery countries,0301,-0.975911302352941,0.000216630546402481
Core countries,0302,-1.37061285882353,0.000264734037411644
Periphery countries,0302,-1.37061285882353,0.00445855375798614
Core countries,0303,-1.52634079411765,0.000301689642270353
Periphery countries,0303,-1.52634079411765,0.00155409511451295
Core countries,0304,-1.22519350529412,0.000454681035501139
Periphery countries,0304,-1.22519350529412,0.000650104600371424
Core countries,0305,-1.5140949,0.00012296319437152
Periphery countries,0305,-1.5140949,0.000600139794037434
Core countries,0306,-1.86436508235294,0.000345302136611525
Periphery countries,0306,-1.86436508235294,0.00079052508206747
Core countries,0307,-1.73419182941176,0.000129394288411612
Periphery countries,0307,-1.73419182941176,0.00123944051877498
Core countries,0401,0.0726507100294118,0.00179833836325173
Periphery countries,0401,0.0726507100294118,0.000817949296773965
Core countries,0402,-0.748801365882353,0.00165683142554287
Periphery countries,0402,-0.748801365882353,0.000970585702030393
Core countries,0403,0.248515236823529,0.000774819268334683
Periphery countries,0403,0.248515236823529,0.000900290940935928
Core countries,0404,0.644077715882353,0.000427041479195236
Periphery countries,0404,0.644077715882353,0.000317667378437276
Core countries,0405,0.204500320694118,0.000953752317530935
Periphery countries,0405,0.204500320694118,0.00121932454070702
Core countries,0406,0.0530224874117647,0.00431517149852477
Periphery countries,0406,0.0530224874117647,0.00420308427988605
Core countries,0407,-0.470297019647059,0.000350736089179671
Periphery countries,0407,-0.470297019647059,0.000237131437310686
Core countries,0408,0.199716145347059,0.000127944118246879
Periphery countries,0408,0.199716145347059,9.60773038012145e-05
Core countries,0409,-0.985910144705882,4.49611108224724e-05
Periphery countries,0409,-0.985910144705882,0.000121400388524101
Core countries,0410,-0.718121122352941,2.1560535639719e-06
Periphery countries,0410,-0.718121122352941,1.08379110477547e-05
Core countries,0501,-1.24364828235294,4.06843870453912e-07
Periphery countries,0501,-1.24364828235294,2.22371545728574e-06
Core countries,0502,-0.779710417352941,7.61079579999654e-06
Periphery countries,0502,-0.779710417352941,2.19441520613252e-06
Core countries,0503,0.0795780264705883,5.41217330533015e-07
Periphery countries,0503,0.0795780264705883,7.37710255197035e-07
Core countries,0504,-0.973337092352941,0.000190616758636576
Periphery countries,0504,-0.973337092352941,0.000279478764053872
Core countries,0505,0.127906203235294,2.55180714973143e-05
Periphery countries,0505,0.127906203235294,3.00097583935503e-05
Core countries,0506,-0.809098742941177,3.02153996131285e-05
Periphery countries,0506,-0.809098742941177,1.56364714939673e-05
Core countries,0507,-1.76226681176471,2.48917026044505e-06
Periphery countries,0507,-1.76226681176471,2.67874946904452e-06
Core countries,0508,-1.28946684117647,3.93913808786388e-06
Periphery countries,0508,-1.28946684117647,9.86388432875858e-06
Core countries,0509,-0.52804295882353,5.40828784365946e-07
Periphery countries,0509,-0.52804295882353,8.04816034174627e-06
Core countries,0510,-1.07050710411765,4.73067178673389e-06
Periphery countries,0510,-1.07050710411765,1.06794936577691e-05
Core countries,0511,-0.771689896470588,0.000112568445931978
Periphery countries,0511,-0.771689896470588,0.000155643219732866
Core countries,0601,-0.464905975058824,0.000452567271592372
Periphery countries,0601,-0.464905975058824,1.52852369555084e-05
Core countries,0602,-0.964109555882353,0.00150997368383953
Periphery countries,0602,-0.964109555882353,0.000609756279953289
Core countries,0603,-1.72760408235294,0.00154094512176142
Periphery countries,0603,-1.72760408235294,0.000146621394641368
Core countries,0604,-1.11550734470588,0.000120362314817594
Periphery countries,0604,-1.11550734470588,0.000107368868712601
Core countries,0701,-0.800275127647059,0.000435388813777727
Periphery countries,0701,-0.800275127647059,0.000281081516745221
Core countries,0702,-1.04452202411765,0.000711915290253042
Periphery countries,0702,-1.04452202411765,0.00122799719652733
Core countries,0703,-1.57233231764706,0.000263860868991229
Periphery countries,0703,-1.57233231764706,0.000326986280947198
Core countries,0704,-0.920575800588235,8.90735619148859e-05
Periphery countries,0704,-0.920575800588235,0.000458923503724847
Core countries,0705,-0.296109246,0.000144889086266163
Periphery countries,0705,-0.296109246,0.000699359779689001
Core countries,0706,-0.565173581764706,0.000131649576365413
Periphery countries,0706,-0.565173581764706,0.000170286457331957
Core countries,0707,-0.93744536882353,0.000204292367875774
Periphery countries,0707,-0.93744536882353,0.000646393151018493
Core countries,0708,-1.85607092352941,4.56012620979763e-05
Periphery countries,0708,-1.85607092352941,7.60649332657125e-05
Core countries,0709,-1.26054492352941,0.000785770243342875
Periphery countries,0709,-1.26054492352941,0.00248503513598812
Core countries,0710,-0.963497638823529,0.000644411444284885
Periphery countries,0710,-0.963497638823529,0.000604881350829878
Core countries,0711,-1.28019088823529,1.97302626031788e-05
Periphery countries,0711,-1.28019088823529,0.00027424991529173
Core countries,0712,-1.19346205058824,6.75590005408546e-05
Periphery countries,0712,-1.19346205058824,0.000162873593925766
Core countries,0713,-1.77598197647059,5.64591287188219e-05
Periphery countries,0713,-1.77598197647059,0.000129132908345445
Core countries,0714,-2.19647072352941,2.25743826241105e-05
Periphery countries,0714,-2.19647072352941,1.59926366315554e-05
Core countries,0801,-2.50627932941176,9.4877698692163e-05
Periphery countries,0801,-2.50627932941176,3.63448434252014e-05
Core countries,0802,-1.63074007058824,0.000630856321889162
Periphery countries,0802,-1.63074007058824,0.000950522091335805
Core countries,0803,-2.07499008823529,0.000610434519544364
Periphery countries,0803,-2.07499008823529,0.000317772136649989
Core countries,0804,-1.65031532352941,0.000263686396120693
Periphery countries,0804,-1.65031532352941,0.00036680322975155
Core countries,0805,-1.15079302529412,0.00025908098840845
Periphery countries,0805,-1.15079302529412,0.00451717173293379
Core countries,0806,-1.04178524941176,0.000221665726842444
Periphery countries,0806,-1.04178524941176,0.00223452120387217
Core countries,0807,-1.56357976470588,7.34388073983564e-05
Periphery countries,0807,-1.56357976470588,0.000865145146429617
Core countries,0808,-0.484215536470588,0.000519963244593234
Periphery countries,0808,-0.484215536470588,0.00104633293222933
Core countries,0809,-0.823700221764706,9.61913310705637e-05
Periphery countries,0809,-0.823700221764706,0.00199564649610422
Core countries,0810,-1.20221585058824,0.000363509468604385
Periphery countries,0810,-1.20221585058824,0.00177489245769778
Core countries,0811,-0.474390582352941,0.000233794539894951
Periphery countries,0811,-0.474390582352941,0.000435743347455668
Core countries,0812,-0.974223540588235,3.60585747827886e-06
Periphery countries,0812,-0.974223540588235,8.28645829018577e-05
Core countries,0813,-1.05322630764706,5.22515515101887e-05
Periphery countries,0813,-1.05322630764706,0.000120310795343953
Core countries,0814,-1.32244682941176,1.69904030134069e-06
Periphery countries,0814,-1.32244682941176,1.31807099326982e-05
Core countries,0901,-2.08737249411765,0.00106122540582699
Periphery countries,0901,-2.08737249411765,0.000812839423257086
Core countries,0902,-2.03062257647059,0.000102559494251972
Periphery countries,0902,-2.03062257647059,2.90563851250431e-05
Core countries,0903,-1.52986973529412,4.6404843758705e-07
Periphery countries,0903,-1.52986973529412,2.41435187138184e-07
Core countries,0904,-1.76435594117647,6.46744149684972e-05
Periphery countries,0904,-1.76435594117647,9.53110417848581e-05
Core countries,0905,-1.55595102705882,7.24011001865977e-06
Periphery countries,0905,-1.55595102705882,2.84869629618635e-06
Core countries,0906,-1.59624409411765,5.15390061901396e-06
Periphery countries,0906,-1.59624409411765,2.10661685766101e-06
Core countries,0907,-1.7836126,2.88640852956107e-06
Periphery countries,0907,-1.7836126,8.90584405407642e-07
Core countries,0908,-1.82008390588235,1.40036281323345e-05
Periphery countries,0908,-1.82008390588235,4.17244929018354e-06
Core countries,0909,-1.37090522352941,2.3477646977701e-05
Periphery countries,0909,-1.37090522352941,1.00419605621613e-05
Core countries,0910,-1.42166964117647,9.39925348960731e-05
Periphery countries,0910,-1.42166964117647,0.000114717334120455
Core countries,1001,-0.419711858235294,0.000737927846392218
Periphery countries,1001,-0.419711858235294,0.00115883941039271
Core countries,1002,0.837089783529412,3.25561239425587e-05
Periphery countries,1002,0.837089783529412,5.21651742549368e-06
Core countries,1003,0.108608282235294,0.00027142492837568
Periphery countries,1003,0.108608282235294,0.000101652260984351
Core countries,1004,0.215418553294118,0.000163698485087697
Periphery countries,1004,0.215418553294118,1.97883382944394e-05
Core countries,1005,-1.10666405529412,0.000297634866802136
Periphery countries,1005,-1.10666405529412,0.000273057972039125
Core countries,1006,-1.62018081176471,0.000163976550452552
Periphery countries,1006,-1.62018081176471,0.000822955574614256
Core countries,1007,-1.52445472647059,5.41824303949958e-06
Periphery countries,1007,-1.52445472647059,8.79516937130518e-06
Core countries,1008,-0.959681315294118,4.12921048639229e-05
Periphery countries,1008,-0.959681315294118,1.55334037759978e-05
Core countries,1101,-1.2771419,0.000256314207007007
Periphery countries,1101,-1.2771419,0.0002695385142379
Core countries,1102,-1.25098811764706,3.05013848313816e-05
Periphery countries,1102,-1.25098811764706,5.65859788225961e-05
Core countries,1103,-0.826656490588235,0.000156696417310707
Periphery countries,1103,-0.826656490588235,0.000103119420754136
Core countries,1104,-0.482663264117647,0.000104130772500987
Periphery countries,1104,-0.482663264117647,7.04870599090669e-05
Core countries,1105,0.0102080335882353,9.64992594931716e-05
Periphery countries,1105,0.0102080335882353,1.78328672903522e-05
Core countries,1106,-1.49954146470588,8.48606447620837e-06
Periphery countries,1106,-1.49954146470588,7.21647447512096e-05
Core countries,1107,0.279069265,0.000347727835019312
Periphery countries,1107,0.279069265,4.90560987832623e-05
Core countries,1108,-0.297722250823529,0.000286270467853174
Periphery countries,1108,-0.297722250823529,6.43981040705001e-05
Core countries,1109,0.718991604470588,0.000101726790254435
Periphery countries,1109,0.718991604470588,1.19567650452617e-05
Core countries,1201,-1.09173987352941,0.000202385746865745
Periphery countries,1201,-1.09173987352941,0.00010381887146295
Core countries,1202,-1.92804382352941,8.24244663918605e-05
Periphery countries,1202,-1.92804382352941,2.49288868996489e-05
Core countries,1203,-2.11681217058824,2.56987677840524e-06
Periphery countries,1203,-2.11681217058824,1.45126037186431e-07
Core countries,1204,-0.110806260882353,5.01530899709976e-05
Periphery countries,1204,-0.110806260882353,3.08878897947764e-06
Core countries,1205,0.102440345305882,0.000236152126446371
Periphery countries,1205,0.102440345305882,2.15752940456705e-05
Core countries,1206,-0.340229434705882,7.72428889944238e-05
Periphery countries,1206,-0.340229434705882,8.95409027035948e-05
Core countries,1207,-1.98508932352941,8.21328056798595e-05
Periphery countries,1207,-1.98508932352941,0.000520836598149925
Core countries,1208,-0.99093775,6.45497972963836e-05
Periphery countries,1208,-0.99093775,0.000168285020340463
Core countries,1209,-0.888960932352941,0.000552702512225416
Periphery countries,1209,-0.888960932352941,0.000203653352393364
Core countries,1210,0.0710343468823529,2.82647169556442e-05
Periphery countries,1210,0.0710343468823529,1.67654761478643e-06
Core countries,1211,-1.80542004117647,5.24211842441132e-05
Periphery countries,1211,-1.80542004117647,6.06480604909736e-05
Core countries,1212,-1.6470629,2.41343405770993e-05
Periphery countries,1212,-1.6470629,0.000120082488601304
Core countries,1213,-0.358052228235294,1.32364964162887e-05
Periphery countries,1213,-0.358052228235294,1.44491359979308e-05
Core countries,1214,-0.553727700588235,2.5308812250864e-05
Periphery countries,1214,-0.553727700588235,0.000159292855861307
Core countries,1301,-1.93908541176471,1.32059101716692e-05
Periphery countries,1301,-1.93908541176471,8.35220237838495e-05
Core countries,1302,-0.896891247058824,0.000151703098202462
Periphery countries,1302,-0.896891247058824,0.000442340641494853
Core countries,1401,-1.18388058470588,7.16638927603134e-06
Periphery countries,1401,-1.18388058470588,8.10562276477095e-06
Core countries,1402,-1.46827830705882,9.62480867982957e-08
Periphery countries,1402,-1.46827830705882,1.51743540354768e-07
Core countries,1403,-1.175507656,5.77683866840078e-07
Periphery countries,1403,-1.175507656,1.97098177524599e-07
Core countries,1404,-1.88204930588235,1.81162527751926e-05
Periphery countries,1404,-1.88204930588235,3.58690591722356e-05
Core countries,1501,1.04738549588235,4.19961000296322e-05
Periphery countries,1501,1.04738549588235,2.94545453005388e-05
Core countries,1502,-0.234901046588235,3.74279791480516e-05
Periphery countries,1502,-0.234901046588235,4.85062266906624e-05
Core countries,1503,-0.256591196586471,2.79971538439003e-06
Periphery countries,1503,-0.256591196586471,8.37525347156976e-06
Core countries,1504,-1.03445580411765,3.21246649272249e-05
Periphery countries,1504,-1.03445580411765,3.67979892114315e-05
Core countries,1505,0.213355846764706,1.1060561967061e-05
Periphery countries,1505,0.213355846764706,4.11552281884915e-06
Core countries,1506,0.704922733529412,3.23751659917583e-05
Periphery countries,1506,0.704922733529412,1.88239281015795e-05
Core countries,1507,-1.03941007,0.000293554715164552
Periphery countries,1507,-1.03941007,0.000578278794726641
Core countries,1508,-1.02203005,1.87491188829009e-05
Periphery countries,1508,-1.02203005,3.51243191558982e-06
Core countries,1509,-0.821428516470588,2.18753703511999e-05
Periphery countries,1509,-0.821428516470588,0.00678133666810523
Core countries,1510,-0.919507339411765,1.86904326391913e-06
Periphery countries,1510,-0.919507339411765,0.000452274810941837
Core countries,1511,-2.13131329411765,0.000401391062670858
Periphery countries,1511,-2.13131329411765,0.000145134537094178
Core countries,1512,-0.966652067058824,0.000289407851484273
Periphery countries,1512,-0.966652067058824,0.000304889694772344
Core countries,1513,-1.90359415294118,0.00010771921841053
Periphery countries,1513,-1.90359415294118,1.79017890031544e-05
Core countries,1514,0.546399947058824,0.000450182792495148
Periphery countries,1514,0.546399947058824,4.46738773388844e-05
Core countries,1515,-1.00006068235294,0.000197749774979744
Periphery countries,1515,-1.00006068235294,0.000172873087194259
Core countries,1516,-0.902718047058823,0.000252401765200348
Periphery countries,1516,-0.902718047058823,0.000172321236181627
Core countries,1517,-0.828865167647059,0.000535529623078494
Periphery countries,1517,-0.828865167647059,0.000310615141063601
Core countries,1518,0.174589672823529,0.000151565830188645
Periphery countries,1518,0.174589672823529,8.79890049070222e-05
