"","year","ccode","Exports","ULC_index","GDP_pc_PPP","OECD_GERD","Wages","pop","TECH","eci_rank","eci_rank_normed","RULC","GERD_pc","ULCGR","rel_ULCGR","EXP","EXPGR","eciGR","eci_rank_change","eci_rank_normed_change","world_GDPg","CAP.ACCU","TOT","HC","TAXBURDEN","real_gdp","gdp_growth","REER","INFLATION","PART.GROWTH","PRIMARY"
"1",1970,"AUS",4.74,12.97106,4650.077117,NA,NA,12.90476,0.382935808,72,0.598870056,82.27911,NA,NA,NA,2.13081591368847,-10.0632949079223,-27.4554690190187,7,0.00393334700000003,4.861890299,6.980235373,56.77038477,2.968357801,21.083,245432.515625,0.0397011334680224,NA,3.906068356,0.0538636596086692,0.464603122961976
"2",1971,"AUS",5.23,13.88466,4862.084581,NA,NA,13.150591,0.348898091,73,0.595505618,84.89001,NA,0.0704337193722025,0.0317322343423501,2.10386580312965,-1.26477892274454,-37.4739871909636,1,-0.00336443799999997,4.335166253,6.956783148,53.19485567,2.991992712,21.835,254986.859375,0.0389285980533982,NA,6.06399642,0.0441174817054416,0.410369452006411
"3",1972,"AUS",6.46,14.99768,5208.919749,NA,NA,13.364238,0.364166983,79,0.569060773,85.82642,NA,0.0801618476793815,0.0110308621709433,2.18508997429306,3.86071065191427,26.8853855528724,6,-0.026444845,5.776450629,6.94833061,63.31477289,3.015816212,21.394,263023.84375,0.0315192100279187,NA,5.864978903,0.0664108996087892,0.421147460916441
"4",1973,"AUS",9.59,17.29622,5792.452765,NA,NA,13.55219,0.158038408,96,0.486486486,98.90952,NA,0.153259704167578,0.152436743837154,2.36340784188087,8.16066476372445,-286.045646861809,17,-0.082574287,6.566790491,7.019330672,68.04647414,3.039829254,22.479,274795.4375,0.0447548540929571,NA,9.465922678,0.0766092399459572,0.487203327372907
"5",1974,"AUS",11.08,20.9317,6241.474421,NA,NA,13.7254,0.295293066,94,0.502673797,111.0512,NA,0.210189278350992,0.122755423340443,2.04927128800769,-13.2916777335889,-102.377547406319,-2,0.016187311,2.018369197,6.395805266,61.92213952,3.064033508,24.623,266772.375,-0.0291964909351888,NA,15.11014018,0.00916409659845775,0.467002847718393
"6",1975,"AUS",12.03,23.74935,6934.065613,NA,NA,13.892674,0.332296618,92,0.50273224,104.6275,NA,0.134611617785464,-0.0578444897488726,2.0859342488556,1.78907307502203,1160.89210700515,-2,5.84430000000191e-05,0.737561833,6.438515728,59.08226485,3.088430405,25.361,272025.96875,0.0196931700668032,NA,15.07195951,0.0197473028680568,0.462551756304369
"7",1976,"AUS",13.21,25.84678,7390.445655,NA,NA,14.054956,0.151621864,113,0.404255319,105.9445,NA,0.088315259154461,0.0125875128431818,2.05814533217001,-1.33220482384961,-449.539636449517,21,-0.0984769210000001,5.355175294,6.506284448,57.19647579,3.113021612,25.54,284435.71875,0.0456197254145428,NA,13.52391424,0.0607170685259893,0.508509781886055
"8",1977,"AUS",13.42,27.98509,7720.400272,NA,NA,14.211657,0.23524749,102,0.454054054,94.46505,NA,0.0827302279045978,-0.108353430333807,1.8380540185175,-10.6936721237491,-59.5269278657625,-11,0.049798735,3.95391211,6.571757601,52.02822731,3.1378088,25.407,289628.65625,0.0182569809545061,NA,12.30024213,0.050129159729608,0.518815514355492
"9",1978,"AUS",14.46,28.62775,8544.449053,NA,NA,14.368543,0.353536137,84,0.556149733,87.96998,NA,0.0229643713849053,-0.068756328398704,1.65044000319587,-10.2072090064552,-208.041981237983,-18,0.102095679,3.958113954,6.994532418,52.3827959,3.162793159,24.514,303346.65625,0.047364097798938,NA,7.923673998,0.0600468095362061,0.52546277025193
"10",1979,"AUS",18.57,31.08457,9442.488298,NA,NA,14.532401,0.433361292,78,0.588235294,82.4164,NA,0.0858195282549275,-0.0631303997113562,1.72859962021075,4.73568362760998,129.943675772821,-6,0.0320855609999999,4.156645323,6.983819895,54.30266333,3.187976599,25.131,313245.5625,0.0326323236008968,NA,9.090000999,0.0513878656047318,0.4843130854555
"11",1980,"AUS",21.7,34.75541,10461.35003,NA,NA,14.708323,0.511315197,83,0.563829787,84.51611,NA,0.118092030869335,0.0254768468411627,1.69764676430091,-1.7906318818963,55.1863642549709,5,-0.024405507,1.878198824,7.601208794,53.85142057,3.21336031,26.187,323755.71875,0.0335524505634457,NA,10.12658228,0.0303240260925371,0.465389139156819
"12",1981,"AUS",21.52,38.78505,11819.86526,3405.068775,NA,14.898019,0.39034018,88,0.537234043,93.40821,228.558493246652,0.115942812931857,0.105211893921762,1.69722780866753,-0.0246786105442904,-55.1869053058665,5,-0.026595744,1.933359096,7.850248615,53.01625994,3.232604742,26.358,338412,0.0452695671495378,NA,9.691745036,0.00721737189802405,0.526693800640368
"13",1982,"AUS",21.35,44.49883,11879.17816,NA,NA,15.101227,0.339952078,90,0.518918919,98.39635,NA,0.147319134563446,0.0534015157768252,1.76590764344381,4.04658905690421,-51.2936273874271,2,-0.018315124,0.384739009,6.913531681,52.22409976,3.251964808,26.835,330351.40625,-0.0238188768424288,NA,11.14551084,-0.00763663126041451,0.549133289250983
"14",1983,"AUS",20.16,44.90681,12674.52208,NA,NA,15.318254,0.406215325,87,0.540106952,91.6228,NA,0.00916833094263382,-0.068839443739529,1.6840557676404,-4.63511645738076,138.49125125542,-3,0.0211880330000001,2.439787391,7.063967839,53.48824915,3.271440506,26.074,350116.90625,0.0598317416728115,NA,10.11356332,0.0169858685880341,0.596065897708031
"15",1984,"AUS",23.1,46.68087,13472.88736,4157.529596,NA,15.548591,0.454099596,81,0.572192513,94.62708,267.389475740921,0.0395053667806731,0.0327896549767089,1.80325053473014,7.07783966422588,41.9633405795432,-6,0.0320855609999999,4.515216142,7.499727571,52.65869756,3.291033268,27.67,363798.46875,0.0390771261135008,NA,3.950184861,0.0316627396328899,0.572020697010264
"16",1985,"AUS",22.74,49.36587,14395.71349,NA,NA,15.791043,0.327186477,86,0.545454545,77.47794,NA,0.0575182082082018,-0.181228671538845,1.71603214730408,-4.83673154374584,-78.3443137784575,5,-0.0267379679999999,3.73830685,7.687047964,47.66445462,3.310742855,27.721,373923.875,0.027832459781347,NA,6.739049045,0.0241101588951607,0.603285666671759
