year,ccode,Exports,ULC_index,GDP_pc_PPP,OECD_GERD,Wages,pop,TECH,eci_rank,eci_rank_normed,RULC,GERD_pc,ULCGR,rel_ULCGR,EXP,EXPGR,eciGR,eci_rank_change,eci_rank_normed_change,world_GDPg,CAP.ACCU,TOT,HC,TAXBURDEN,real_gdp,gdp_growth,REER,INFLATION,PART.GROWTH,PRIMARY
1970,AUS,4.74,12.97106,4650.077117,NA,NA,12.90476,0.382935808,72,0.598870056,82.27911,NA,NA,NA,2.130815914,-10.06329491,-27.45546902,7,0.003933347,4.861890299,6.980235373,56.77038477,2.968357801,21.083,245432.5156,0.039701133,NA,3.906068356,0.05386366,0.464603123
1971,AUS,5.23,13.88466,4862.084581,NA,NA,13.150591,0.348898091,73,0.595505618,84.89001,NA,0.070433719,0.031732234,2.103865803,-1.264778923,-37.47398719,1,-0.003364438,4.335166253,6.956783148,53.19485567,2.991992712,21.835,254986.8594,0.038928598,NA,6.06399642,0.044117482,0.410369452
1972,AUS,6.46,14.99768,5208.919749,NA,NA,13.364238,0.364166983,79,0.569060773,85.82642,NA,0.080161848,0.011030862,2.185089974,3.860710652,26.88538555,6,-0.026444845,5.776450629,6.94833061,63.31477289,3.015816212,21.394,263023.8438,0.03151921,NA,5.864978903,0.0664109,0.421147461
1973,AUS,9.59,17.29622,5792.452765,NA,NA,13.55219,0.158038408,96,0.486486486,98.90952,NA,0.153259704,0.152436744,2.363407842,8.160664764,-286.0456469,17,-0.082574287,6.566790491,7.019330672,68.04647414,3.039829254,22.479,274795.4375,0.044754854,NA,9.465922678,0.07660924,0.487203327
1974,AUS,11.08,20.9317,6241.474421,NA,NA,13.7254,0.295293066,94,0.502673797,111.0512,NA,0.210189278,0.122755423,2.049271288,-13.29167773,-102.3775474,-2,0.016187311,2.018369197,6.395805266,61.92213952,3.064033508,24.623,266772.375,-0.029196491,NA,15.11014018,0.009164097,0.467002848
1975,AUS,12.03,23.74935,6934.065613,NA,NA,13.892674,0.332296618,92,0.50273224,104.6275,NA,0.134611618,-0.05784449,2.085934249,1.789073075,1160.892107,-2,5.84E-05,0.737561833,6.438515728,59.08226485,3.088430405,25.361,272025.9688,0.01969317,NA,15.07195951,0.019747303,0.462551756
1976,AUS,13.21,25.84678,7390.445655,NA,NA,14.054956,0.151621864,113,0.404255319,105.9445,NA,0.088315259,0.012587513,2.058145332,-1.332204824,-449.5396364,21,-0.098476921,5.355175294,6.506284448,57.19647579,3.113021612,25.54,284435.7188,0.045619725,NA,13.52391424,0.060717069,0.508509782
1977,AUS,13.42,27.98509,7720.400272,NA,NA,14.211657,0.23524749,102,0.454054054,94.46505,NA,0.082730228,-0.10835343,1.838054019,-10.69367212,-59.52692787,-11,0.049798735,3.95391211,6.571757601,52.02822731,3.1378088,25.407,289628.6563,0.018256981,NA,12.30024213,0.05012916,0.518815514
1978,AUS,14.46,28.62775,8544.449053,NA,NA,14.368543,0.353536137,84,0.556149733,87.96998,NA,0.022964371,-0.068756328,1.650440003,-10.20720901,-208.0419812,-18,0.102095679,3.958113954,6.994532418,52.3827959,3.162793159,24.514,303346.6563,0.047364098,NA,7.923673998,0.06004681,0.52546277
1979,AUS,18.57,31.08457,9442.488298,NA,NA,14.532401,0.433361292,78,0.588235294,82.4164,NA,0.085819528,-0.0631304,1.72859962,4.735683628,129.9436758,-6,0.032085561,4.156645323,6.983819895,54.30266333,3.187976599,25.131,313245.5625,0.032632324,NA,9.090000999,0.051387866,0.484313085
