Land,Gruppe,2008,2018,Wachstum.Land.kum,Wachstum.Gruppe.kum.av
Österreich,Restliche EU-Länder,301.925,335.7038,11.1878115426016,10.4571630547618
Belgien,Restliche EU-Länder,363.5401,402.8673,10.8178437536877,10.4571630547618
Bulgarien,Ost-Europa,76.53896,90.17785,17.8195392255134,16.8202991160527
Zypern,Finanzzentren,19.43688,20.24593,4.16244788258199,31.9408752456883
Tschechien,Ost-Europa,4069.84,4740.105,16.4690749513494,16.8202991160527
Deutschland,Deutschland,2626.501,2982.881,13.5686222849334,13.5686222849334
Dänemark,Restliche EU-Länder,1869.388,2023.2,8.22793341992139,10.4571630547618
Spanien,Südliche Eurozone,1120.839,1169.085,4.30445407413554,-5.26077026416577
Estland,Ost-Europa,16.87636,19.82911,17.4963677001439,16.8202991160527
Finnland,Restliche EU-Länder,198.04,202.4739,2.23889113310442,10.4571630547618
Frankreich,Frankreich,2015.034,2206.675,9.51055912704203,9.51055912704203
Griechenland,Südliche Eurozone,249.8804,191.025,-23.553427959936,-5.26077026416577
Kroatien,Ost-Europa,360.3374,357.5168,-0.782766373959521,16.8202991160527
Ungarn,Ost-Europa,28958.94,33330.65,15.0962362572663,16.8202991160527
Irland,Finanzzentren,173.2598,291.7764,68.4039806117749,31.9408752456883
Italien,Südliche Eurozone,1669.421,1618.155,-3.07088505535752,-5.26077026416577
Litauen,Ost-Europa,32.37096,37.1654,14.8109293020658,16.8202991160527
Luxemburg,Finanzzentren,40.05991,49.45983,23.4646558117579,31.9408752456883
Lettland,Ost-Europa,21.81556,23.7085,8.67701768829221,16.8202991160527
Malta,Finanzzentren,6.53458,10.07148,54.1258963850775,31.9408752456883
Niederlande,Finanzzentren,654.7262,717.2355,9.54739553724901,31.9408752456883
Polen,Ost-Europa,1356.719,1899.449,40.0031251865714,16.8202991160527
Portugal,Südliche Eurozone,181.9972,184.3209,1.27677788449493,-5.26077026416577
Rumänien,Ost-Europa,577.6713,711.9587,23.246334031135,16.8202991160527
Slowakei,Ost-Europa,68.0223,84.88756,24.7937220587954,16.8202991160527
Slowenien,Ost-Europa,38.83747,41.709,7.39371024940605,16.8202991160527
Schweden,Restliche EU-Länder,3506.825,4201.644,19.8133354244937,10.4571630547618
