iso3c,year,AIS_mean,AIS_MIP,AIS_SGP,AIS_INT,group,SGP_new,SGP_avg
FRA,2012,0.5,0.583333333333333,0.5,0.25,Periphery,0.173838599119335,0.732474095886573
SVN,2012,0.5,0.5,0.5,0.5,Catchup,0.162766074994579,0.448991622775793
FIN,2012,0.55,0.5,0.5,0.583333333333333,Core,0.486174636054784,0.189054708695039
BGR,2012,0.428571428571429,0.375,0.75,0.375,Catchup,0.237617586972192,0.43137479503639
DNK,2012,0.6,0.5,0.75,0.75,Core,0.175854642409831,0.221108259633183
SWE,2012,0.75,0.5,1,0.75,Core,0.92433883016929,0.625167375896126
MLT,2013,0.375,0.321428571428571,0.5,0.375,Finance,0.899144907481968,0.0540455649606884
NLD,2013,0.5,0.25,0.75,0.5,Finance,0.272550836903974,0.621904860716313
FIN,2013,0.596153846153846,0.5,0.75,0.75,Core,0.647604349302128,0.553447482408956
BGR,2013,0.23,0.183333333333333,0.5,0.214285714285714,Catchup,0.00672308495268226,0.123666021041572
DNK,2013,0.46875,0.25,0.75,0.5,Core,0.45835682656616,0.846576884621754
SWE,2013,0.375,0.25,0.75,0.5,Core,0.907861066749319,0.748040613718331
BEL,2014,0.5,0.472222222222222,0.25,0.625,Core,0.278682733885944,0.747346605174244
IRL,2014,0.435185185185185,0.5,0.5,0.25,Finance,0.718842684058473,0.539098439505324
NLD,2014,0.479166666666667,0.375,0.5,0.75,Finance,0.274716681800783,0.774751573102549
FIN,2014,0.472222222222222,0.45,0.5,0.5,Core,0.498167651472613,0.114211848936975
BGR,2014,0.194444444444444,0.25,0,0.0833333333333333,Catchup,0.828726100968197,0.79878732864745
SWE,2014,0.386363636363636,0.25,0.5,0.5,Core,0.276677828049287,0.956179195083678
IRL,2015,0.454545454545455,0.5,0.5,0.5,Finance,0.610755035886541,0.640022177016363
NLD,2016,0.178571428571429,0.25,0,0.25,Finance,0.681707919808105,0.0727195974905044
FIN,2016,0.5,0.5,0.5,,Core,0.553175653098151,0.735813825391233
