country,schooling,population,rca_raw,rca_purged
ARE,8.89,4588225,-5.13130215066647,1.57794628796448
AFG,3.21,25654277,-6.04821448963562,0.384204101188225
ALB,9.85,3011487,-6.21311714184999,0.563851849867603
ARM,10.5,2981269,-7.25823321632388,-0.4796422275223
ARG,9.38,38892931,-7.98423474816592,-1.61873944886221
AUT,9.29,8227829,-5.06771156365117,1.54760529090177
AUS,11.38,20394800,-5.66275210546343,0.806566633714559
BRB,9.34,276323,-5.5418312778077,1.61930830380254
BGD,5.24,139035505,-8.1458371687383,-1.98523072804102
BEL,10.59,10478617,-4.86434428908469,1.71208062267214
BGR,10.45,7658972,-5.92774455649957,0.699095140637198
BHR,7.19,889164,-7.58630407152765,-0.613132734713655
BDI,2.88,7364862,-5.30746256886566,1.3256749703865
BEN,3.72,7982225,-9.15128869289622,-2.53109777154553
BRN,8.45,365114,-9.0355446099684,-1.91921961829447
BOL,8.49,9232306,-9.61641743027066,-3.01962648269042
BRA,7.29,186127103,-6.31656672842269,-0.202875575176474
BWA,9.22,1799078,-7.33225477187485,-0.472430703497181
BLZ,10.76,283800,-7.53657262303694,-0.379727189729389
CAN,12.03,32243753,-4.87617628307437,1.51947345110874
COD,3.49,54785903,-9.30983461620765,-2.9994442519407
CAF,3.55,4038382,-8.06060795132348,-1.33082922173593
COG,5.77,3622775,-9.81623835281108,-3.06899246186415
CHE,10.55,7437115,-5.83066876462789,0.800898603901933
CIV,4.26,18354514,-9.07747313243093,-2.59120180065332
CHL,9.67,16182721,-6.7622139800509,-0.255688613719182
CMR,5.77,17733410,-7.32577268565069,-0.833964633629068
CHN,7.29,1303720000,-2.22264638280928,3.57797422390925
COL,7.06,42647723,-8.34770705209226,-1.99703441480415
CRI,8.12,4285502,-1.94442035166043,4.77580588368671
CUB,9.51,11261582,-7.07852698407978,-0.513691819805783
CYP,9.28,1027662,-4.53232036385525,2.41756869049883
CZE,12.73,10211216,-2.85311143377094,3.72747102808692
DEU,11.65,82469422,-4.0700679271319,2.17454227871018
DNK,11.1,5419432,-5.04670422745857,1.63576574471207
DOM,7.4,9097257,-5.32484917125249,1.27431180929594
DZA,5.54,33149724,-9.99109736543472,-3.5999043468569
ECU,7.37,13825847,-8.45665401265233,-1.92481272460447
EST,11.77,1354775,-5.77064589765056,1.13479689101505
EGY,6.66,75523569,-8.2211496999222,-1.96238888731404
ESP,10.12,43653155,-5.76342619695233,0.583498743895775
FIN,9.97,5246096,-5.04434279109333,1.64335537776495
FJI,9.38,821604,-7.50407023268044,-0.518189300942665
FRA,10.12,63179351,-4.72214428480217,1.56532009143412
GAB,7.71,1390549,-8.67982396159419,-1.77857302305001
GBR,11.1,60401206,-3.94418449720871,2.35051232509005
GHA,7.07,21814642,-7.89095359582114,-1.43245919997114
GMB,3.25,1543741,-7.25666807603346,-0.37222588528123
GRC,9.9,10987314,-6.37104797165055,0.197752674236962
GTM,3.97,13096028,-7.49037919251864,-0.949815754528369
GUY,8.51,746163,-6.9285752163473,0.0727963328728238
HKG,11.18,6813200,-2.53640662481594,4.10925317615118
HND,6.03,7458985,-7.92503073108173,-1.29393562540092
HRV,10.58,4310145,-5.74966798564483,0.969636053218864
HTI,4.81,9195288,-9.38097644107667,-2.78353931549784
HUN,11.66,10087065,-3.08002136594687,3.50252854563885
IDN,6.41,226289470,-3.80392327725637,2.27834333064636
IRL,11.54,4159914,-2.66764617167983,4.0573637905865
ISR,11.47,6930100,-4.29222295359734,2.35070068903394
IND,5.63,1147609927,-6.29275540469275,-0.471622015564697
IRQ,6.31,26922284,-10.9576195173557,-4.53296019833533
IRN,8.06,69762347,-8.90373696041189,-2.63221392991981
ISL,10.42,296734,-6.40816912400975,0.741508534753177
ITA,9.15,57969484,-5.71480808080003,0.586497777494834
JAM,9.66,2740003,-7.81138995911287,-1.01922620216316
JOR,9.07,5765635,-5.90339031648052,0.76912013926531
JPN,11.3,127773000,-3.79264905817191,2.38154366821249
KEN,6.25,36624895,-6.70283683264218,-0.327677946386427
KGZ,9.89,5162600,-6.73599725774294,-0.0457186954492602
KHM,4.1,13273354,-9.71326684667902,-3.17486655691309
KOR,11.46,48184561,-3.30306589552812,3.02797460264792
KWT,6.07,2270198,-8.9881107655757,-2.16569546709664
KAZ,11.6,15147029,-9.62463311500844,-3.10747025694635
LAO,4.62,5751676,-8.41855057140667,-1.74565025385282
LKA,10.31,19544988,-6.09546824088572,0.380695757882071
LBR,3.85,3218116,-7.72584865566009,-0.959552934351972
LSO,6.93,1996114,-8.25396430252381,-1.41085536394182
LTU,10.4,3322528,-4.69516996848878,2.06599035532117
LUX,10.26,465158,-3.34719123374467,3.73018504344938
LVA,10.26,2238799,-5.15182863567917,1.67282667383267
LBY,7.42,5798614,-11.5572833367584,-4.88569021712922
MAR,4.34,30455561,-7.11739785677483,-0.712571636344654
MDA,9.57,3595187,-7.26975224820284,-0.521276895546214
MLI,1.73,12775516,-5.7679086838636,0.776639966156519
MMR,4.23,48949924,-9.23360237839283,-2.90509648515191
MNG,8.57,2526424,-7.61329960116238,-0.808083515261403
MAC,7.5,482858,-6.68277760622315,0.388592255946888
MRT,4.06,3024194,-8.31226601894125,-1.53597423924717
MLT,10.13,403834,-6.36554958821608,0.734564280119752
MUS,7.84,1228254,-5.52630478626912,1.39490642613834
MDV,4.69,319608,-8.57463875560648,-1.43690447352118
MWI,4.41,12625952,-6.51153514726432,0.0349075052265017
MEX,8.45,106005203,-3.36036611816292,2.84386506288788
MYS,9.71,25690611,-2.1022769600515,4.32991400400001
MOZ,1.28,20493925,-8.66245156350297,-2.19391263243835
NAM,5.97,1938320,-7.07542745522505,-0.227593112088808
NER,1.57,13624467,-6.04512924007898,0.4890718962267
NIC,5.98,5438690,-8.15890033484391,-1.47700087389016
NLD,10.8,16319868,-2.91462622366218,3.59054183532128
NOR,11.78,4623291,-6.15707733057286,0.550946592006814
NPL,3.55,25744500,-8.31639074988325,-1.88453679977471
NZL,11.77,4133900,-5.7478450502638,0.978173843163339
PAN,9.18,3330217,-5.05672004432458,1.70406850768564
PER,9.55,27866145,-8.57489712901759,-2.15577984711184
PNG,3.99,6494903,-9.22072807998378,-2.56737331680078
PHL,8.18,86326250,-2.37827701961297,3.85898209474839
PAK,4.93,160304008,-8.19492447341639,-2.05721155218999
POL,10.94,38165445,-5.11413481818911,1.25439734241834
PRT,7.02,10503330,-4.57830824681068,1.99773779762159
PRY,7.59,5824096,-8.34860958793997,-1.67772170365922
QAT,7.29,865416,-9.12833353406277,-2.15080820497184
ROU,10.31,21319685,-4.86161633997081,1.60056928304575
SRB,10.06,7440769,-5.63636238590886,0.995125981245931
RUS,11.2,143518523,-8.3374706749235,-2.18196825804551
RWA,3.83,8840215,-6.64067790690189,-0.0369071500417248
SAU,7.69,23816183,-8.59611634124357,-2.15174056383134
SDN,3.15,30949516,-9.82396318653554,-3.42172458158362
SWE,11.81,9029572,-4.64566671924796,1.95469536327415
SGP,8.83,4265762,-2.71509871845956,4.00587006546793
SVN,11.59,2000474,-5.58497015107858,1.25778787038995
SVK,12.22,5372807,-4.48536694486675,2.19849271514951
SLE,3.22,5645624,-5.32634031851611,1.34955320557245
SEN,1.57,11090116,-6.54797122437045,0.0193315883154257
SLV,7.34,6052123,-7.36895004958494,-0.704239038974349
SYR,5.9,18361176,-9.0361082106447,-2.54989524490402
SWZ,2.99,1030579,-6.7816233316705,0.167809845599614
TGO,5.16,5611640,-7.31244353135543,-0.635578937953828
THA,7.03,65416189,-2.35009421075969,3.93177439749789
TJK,10.38,6789321,-7.48970492529202,-0.84348044167585
TUN,6.78,10106771,-5.36664768838259,1.21558832628034
TON,9.33,100905,-6.52591085628999,0.797251227137141
TUR,6.47,67903469,-7.05215631981714,-0.776289603180499
TTO,10.08,1296502,-9.42009326331168,-2.50757933379735
TZA,5.11,38450320,-7.67668584173095,-1.30934972046194
UKR,10.97,47105150,-7.42489131977149,-1.09020691972279
UGA,4.97,27684585,-6.68852023739233,-0.268351625100355
USA,12.86,295516599,-3.6161255170334,2.42321294846366
URY,7.96,3321803,-7.02309196053612,-0.261896537784978
VEN,7.51,26432447,-9.34177697358596,-2.91416441878951
VNM,6.42,83832661,-4.09062525267149,2.15134806745308
YEM,3,20107409,-9.42357706991411,-2.9519758400772
ZAF,8.65,47880601,-5.76310793011744,0.568950360526312
ZMB,6.42,11856247,-9.12628443018334,-2.56972541706468
ZWE,7.47,12076699,-7.03607939754392,-0.482483423866219
