cusip,year,ikn,qn
2824,1951,0.20488372,10.91000711
2824,1952,0.19974634,12.23462892
2824,1953,0.11033265,7.41011005
2824,1954,0.12583384,6.77981195
2824,1955,0.06819211,7.37226581
2824,1956,0.09540332,6.09777882
2824,1957,0.19270433,4.74793827
2824,1958,0.18956012,5.49703844
2824,1959,0.20140658,8.33415201
2824,1960,0.17066357,6.60660449
2824,1961,0.15999073,4.64336309
2824,1962,0.1433293,7.0520096
2824,1963,0.09747342,7.41294363
2824,1964,0.15371217,13.20459176
2824,1965,0.253739,15.07406989
2824,1966,0.20333136,12.42210436
2824,1967,0.2787013,10.09005028
2824,1968,0.26477768,8.81962431
2824,1969,0.13710129,11.15780552
2824,1970,0.15885805,10.38193792
2824,1971,0.15617075,8.70223946
2824,1972,0.13741554,6.19023632
2824,1973,0.14395344,5.89185002
2824,1974,0.16449669,2.98265658
2824,1975,0.14597343,2.37886488
2824,1976,0.13371218,4.03099938
2824,1977,0.14274937,4.35347486
2824,1978,0.16139868,4.49656909
2824,1979,0.1762532,4.502361
2824,1980,0.20906676,4.71049593
2824,1981,0.21065986,6.02135246
2824,1982,0.20701218,4.16055275
2824,1983,0.23245165,5.26736253
2824,1984,0.22068868,5.29010867
2824,1985,0.1775413,3.76019821
6284,1951,0.03062835,-1.03466126
6284,1952,0.07865699,-1.38083763
6284,1953,0.09348761,-1.63136409
6284,1954,0.04959611,-2.13815093
6284,1955,0.09828238,-1.73210589
6284,1956,0.04864548,-1.8656866
6284,1957,0.04856936,-2.54672
6284,1958,0.11350282,-2.5605213
6284,1959,0.12506467,-1.89837123
6284,1960,0.18587272,-0.17101271
6284,1961,0.1275428,5.00450226
6284,1962,0.08624933,2.05175679
6284,1963,0.08740397,-0.68371445
6284,1964,0.0159083,-1.48288953
6284,1965,0.40542008,-0.44635166
6284,1966,0.12490695,-0.25147651
6284,1967,0.145769,-0.30904557
6284,1968,0.22854135,7.71485734
6284,1969,0.22943829,3.36896157
6284,1970,0.22552445,0.70918012
6284,1971,0.31841231,0.23307831
6284,1972,0.40371205,-0.16763867
6284,1973,0.13902853,-0.72718815
6284,1974,0.11560547,-1.29214729
6284,1975,0.00775824,-1.44449684
6284,1976,0.03108907,-1.57388924
6284,1977,0.02096335,-1.70006549
6284,1978,0.10204913,-1.87209328
6284,1979,0.12525199,-1.76004522
6284,1980,0.07657525,-1.68557785
6284,1981,0.21599896,-1.6746311
6284,1982,0.02971833,-1.54290147
6284,1983,0.02942589,-1.42851736
6284,1984,0.20295465,-1.02171708
6284,1985,0.03897648,-0.93820285
9158,1951,0.2116657,1.08827202
9158,1952,0.19770411,0.33552731
9158,1953,0.2665696,-0.20005689
9158,1954,0.0710113,0.95089407
9158,1955,0.38731787,2.47608265
9158,1956,0.47251724,3.20855611
9158,1957,0.59198854,6.00600516
9158,1958,0.3674994,3.96862114
9158,1959,0.32879011,4.03026762
9158,1960,0.51107089,4.73371204
