country,year,exports,imports,resimp,gnp,pgnp,gnpw,pm,px,cpi,pw,exrate,consump,invest,income,pop,reserves,money,trend,pwcpi,importspmpx,pmcpi,pxpw
Indonesia,1963,-7.62723,-9.19358,-13.61314,-0.22242,,,-0.564217785786578,-2.23661811407976,-3.21888,,,-0.31931,-1.48524,-0.36945,,-22.80672,-2.26672,,,,,
Indonesia,1964,-7.61279,-8.96084,-14.74513,0.1296,-0.00555043478260853,-2.21541,-0.2816,-1.96169,-2.81341,-0.58577,0.0240199999999999,0.02576,-1.31476,0.00851000000000002,11.5373253517938,-23.70597,-2.09646,1,0.996430639742199,-7.28075,7.13697818598809,2.81044918598809
Indonesia,1965,-7.65318,-8.96664,-14.96593,0.01653,0.0556645059288531,-2.16165,0.34958,-1.33965,-1.51413,-0.56591,0.0450499999999999,-0.03884,-1.36559,-0.11283,11.5623820736828,-23.93257,-2.1472,2,0.345886807144709,-7.27741,6.46887118598809,2.78374918598809
Indonesia,1966,-7.67038,-9.30862,-14.60063,0.15908,0.116879446640316,-2.1123,1.54867,-0.20691,0.90016,-0.53332,0.14711,0.22324,-1.38655,0.05033,11.5883111918761,-23.90925,-2.4672,3,-0.852396570647516,-7.55304,5.25368218598809,2.70057818598809
Indonesia,1967,-7.67121,-9.12042,-16.19614,0.13064,0.178094387351779,-2.0949,2.04485,0.23114,1.89462,-0.53132,0.23858,0.14438,-1.38932,0.01889,11.6137657798963,-25.31656,-2.61349,4,-1.36133549305584,-7.30671,4.75539818598809,2.65311518598809
Indonesia,1968,-7.42591,-8.79655,-13.90201,0.19652,0.239309328063241,-2.057,2.72725,0.91458,2.70605,-0.50662,0.47256,0.17004,-1.30994,0.08316,11.6394700062952,-22.69856,-2.60228,5,-1.46460545391066,-6.98388,4.62637518598809,2.62840518598809
Indonesia,1969,-7.47061,-8.67138,-13.76654,0.27053,0.300524268774704,-2.04203,2.85192,1.16096,2.86676,-0.46834,0.51995,0.22435,-1.26739,0.16088,11.6653031453911,-22.43792,-2.18667,6,-1.49146952380339,-6.98042,4.59033118598809,2.74095318598809
Indonesia,1970,-7.83957,-8.62897,-13.63308,0.33289,0.361739209486166,-2.06173,3.0058,1.77602,2.98265,-0.43268,0.57869,0.23743,-1.23001,0.21376,11.6908205728113,-22.26205,-1.98808,7,-1.46466324858974,-7.39919,4.62832218598809,3.21331518598809
Indonesia,1971,-7.74405,-8.60331,-13.59687,0.35604,0.422954150197629,-2.03124,3.12885,1.84336,3.02578,-0.39992,0.62501,0.23003,-1.18762,0.2213,11.7161111769435,-22.20018,-1.70051,8,-1.39802352730123,-7.31782,4.70823918598809,3.17090418598809
Indonesia,1972,-7.64666,-8.55241,-12.65965,0.46913,0.484169090909091,-1.97946,3.27164,2.09114,3.08786,-0.35673,0.66189,0.32711,-1.12257,0.31209,11.7411757944676,-21.21206,-1.367,9,-1.35958279792125,-7.37191,4.78895418598809,3.31816318598809
